Committee,Subcommittee,Chair,Ranking Member,Chair Party,Ranking Member Party
Aging ,,Bob Casey,Mike Braun,D,R
Agriculture,,Glenn Thompson,David Scott,R,D
Agriculture,"Biotechnology, Horticulture and Research",Jim Baird,Stacey Plaskett,R,D
Agriculture,"Commodity Exchanges, Energy and Credit",Michelle Fischbach,,R,
Agriculture,Conservation and Forestry,Doug LaMalfa,Abigail Spanberger,R,D
Agriculture,General Farm Commodities and Risk Management,Austin Scott,,R,
Agriculture,Livestock and Foreign Agriculture,Dusty Johnson,Jim Costa,R,D
Agriculture,"Nutrition, Oversight and Department Operations",Don Bacon,Jahana Hayes,R,D
"Agriculture, Nutrition and Forestry",,Debbie Stabenow,John Boozman,D,R
"Agriculture, Nutrition and Forestry","Commodities, Risk Management and Trade",Raphael Warnock,John Hoeven,D,R
"Agriculture, Nutrition and Forestry","Conservation, Climate, Forestry and Natural Resources",Michael Bennet,Roger Marshall,D,R
"Agriculture, Nutrition and Forestry","Food and Nutrition, Specialty Crops, Organics and Research",Cory Booker,Mike Braun,D,R
"Agriculture, Nutrition and Forestry","Livestock, Dairy, Poultry, Local Food Systems and Food Safety and Security",Kirsten Gillibrand,,D,
"Agriculture, Nutrition and Forestry",Rural Development and Energy,Tina Smith,Joni Ernst,D,R
Appropriations,,Kay Granger,Rosa DeLauro,R,D
Appropriations,"Agriculture, Rural Development, Food and Drug Administration and Related Agencies",Andy Harris,Sanford Bishop,R,D
Appropriations,"Commerce, Justice, Science and Related Agencies",Hal Rogers,Matt Cartwright,R,D
Appropriations,Defense,Ken Calvert,Betty McCollum,R,D
Appropriations,Energy and Water Development and Related Agencies,Chuck Fleischmann,Marcy Kaptur,R,D
Appropriations,Financial Services and General Government,Steve Womack,Mike Quigley,R,D
Appropriations,Homeland Security,Dave Joyce,,R,
Appropriations,"Interior, Environment and Related Agencies",Mike Simpson,Chellie Pingree,R,D
Appropriations,"Labor, Health and Human Services, Education and Related Agencies",Robert Aderholt,Rosa DeLauro,R,D
Appropriations,Legislative Branch,Mark Amodei,,R,
Appropriations,"Military Construction, Veterans Affairs and Related Agencies",John Carter,Debbie Wasserman Schultz,R,D
Appropriations,"State, Foreign Operations and Related Programs",,Barbara Lee,,D
Appropriations,"Transportation, Housing and Urban Development and Related Agencies",Tom Cole,,R,
Appropriations,,Patty Murray,Susan Collins,D,R
Appropriations,"Agriculture, Rural Development, Food and Drug Administration and Related Agencies",Tammy Baldwin,John Hoeven,D,R
Appropriations,"Commerce, Justice, Science and Related Agencies",Jeanne Shaheen,Jerry Moran,D,R
Appropriations,Defense,Jon Tester,,D,
Appropriations,Energy and Water Development,Dianne Feinstein,John Kennedy,D,R
Appropriations,Financial Services and General Government,Chris Van Hollen,,D,
Appropriations,Homeland Security,Chris Murphy,Shelley Moore Capito,D,R
Appropriations,"Interior, Environment and Related Agencies",Jeff Merkley,Lisa Murkowski,D,R
Appropriations,"Labor, Health and Human Services, Education and Related Agencies",Patty Murray,,D,
Appropriations,Legislative Branch,Jack Reed,Mike Braun,D,R
Appropriations,"Military Construction, Veterans Affairs and Related Agencies",Martin Heinrich,John Boozman,D,R
Appropriations,"State, Foreign Operations and Related Programs",Chris Coons,Lindsey Graham,D,R
Appropriations,"Transportation, Housing and Urban Development and Related Agencies",Brian Schatz,Susan Collins,D,R
Armed Services,,Mike Rogers,Adam Smith,R,D
Armed Services,"Cyber, Innovative Technologies and Information Systems",Jim Banks,,R,
Armed Services,Intelligence and Special Operations,Trent Kelly,Ruben Gallego,R,D
Armed Services,Military Personnel,Mike Gallagher,,R,
Armed Services,Readiness,Michael Waltz,John Garamendi,R,D
Armed Services,Seapower and Projection Forces,Rob Wittman,Joe Courtney,R,D
Armed Services,Strategic Forces,Doug Lamborn,,R,
Armed Services,Tactical Air and Land Forces,,Donald Norcross,,D
Armed Services,,Jack Reed,Roger Wicker,D,R
Armed Services,Airland,Tammy Duckworth,Tom Cotton,D,R
Armed Services,Cybersecurity,Joe Manchin,Mike Rounds,D,R
Armed Services,Emerging Threats and Capabilities,Mark Kelly,Joni Ernst,D,R
Armed Services,Personnel,Kirsten Gillibrand,Thom Tillis,D,R
Armed Services,Readiness and Management Support,Tim Kaine,Dan Sullivan,D,R
Armed Services,Seapower,Mazie Hirono,Kevin Cramer,D,R
Armed Services,Strategic Forces,Angus King,Deb Fischer,I,R
"Banking, Housing and Urban Affairs",,Sherrod Brown,Tim Scott,D,R
"Banking, Housing and Urban Affairs",Economic Policy,Elizabeth Warren,John Kennedy,D,R
"Banking, Housing and Urban Affairs",Financial Institutions and Consumer Protection,Raphael Warnock,Thom Tillis,D,R
"Banking, Housing and Urban Affairs","Housing, Transportation and Community Development",Tina Smith,Mike Rounds,D,R
"Banking, Housing and Urban Affairs",National Security and International Trade and Finance,Mark Warner,Bill Hagerty,D,R
"Banking, Housing and Urban Affairs","Securities, Insurance and Investment",Bob Menendez,Tim Scott,D,R
Budget,,Jodey Arrington,Brendan Boyle,R,D
Budget,,Sheldon Whitehouse,Chuck Grassley,D,R
"Commerce, Science and Transportation",,Maria Cantwell,Ted Cruz,D,R
"Commerce, Science and Transportation","Aviation Safety, Operations and Innovation",Kyrsten Sinema,Ted Cruz,I,R
"Commerce, Science and Transportation","Communications, Media and Broadband",Ben Ray LujÃ¡n,John Thune,D,R
"Commerce, Science and Transportation","Consumer Protection, Product Safety and Data Security",Richard Blumenthal,Marsha Blackburn,D,R
"Commerce, Science and Transportation","Oceans, Fisheries, Climate Change and Manufacturing",Tammy Baldwin,Dan Sullivan,D,R
"Commerce, Science and Transportation",Space and Science,John Hickenlooper,Cynthia Lummis,D,R
"Commerce, Science and Transportation","Surface Transportation, Maritime, Freight and Ports",Gary Peters,Deb Fischer,D,R
"Commerce, Science and Transportation","Tourism, Trade and Export Promotion",Jacky Rosen,Rick Scott,D,R
Education and the Workforce,,Virginia Foxx,Bobby Scott,R,D
Education and the Workforce,"Early Childhood, Elementary and Secondary Education",Burgess Owens,Gregorio Sablan,R,D
Education and the Workforce,"Health, Employment, Labor and Pensions",Rick Allen,Mark DeSaulnier,R,D
Education and the Workforce,Higher Education and Workforce Investment,,Frederica Wilson,,D
Education and the Workforce,Workforce Protections,,Alma Adams,,D
Energy and Commerce,,Cathy McMorris Rodgers,Frank Pallone,R,D
Energy and Commerce,Communications and Technology,Bob Latta,,R,
Energy and Commerce,Consumer Protection and Commerce,Gus Bilirakis,Jan Schakowsky,R,D
Energy and Commerce,Energy,,,,
Energy and Commerce,Environment and Climate Change,,Paul Tonko,,D
Energy and Commerce,Health,Brett Guthrie,Anna Eshoo,R,D
Energy and Commerce,Oversight and Investigations,Morgan Griffith,Diana DeGette,R,D
Energy and Natural Resources,,Joe Manchin,John Barrasso,D,R
Energy and Natural Resources,Energy,Mazie Hirono,John Hoeven,D,R
Energy and Natural Resources,National Parks,Angus King,Steve Daines,I,R
Energy and Natural Resources,"Public Lands, Forests and Mining",Catherine Cortez Masto,Mike Lee,D,R
Energy and Natural Resources,Water and Power,Ron Wyden,,D,
Environment and Public Works,,Tom Carper,Shelley Moore Capito,D,R
